"code_7","pc_1"
2112225,0.0428669077983049
2112230,0.106439695681658
2112235,0.154450898147393
2112240,0.0238850962521064
2112245,-0.106738828243094
2112250,0.0548261360842526
2112255,0.0492385146258077
2112260,0.0764200205291848
2115005,-0.327088607463136
2115010,-0.301506715175568
2115015,-0.302963250521864
2115020,-0.281041309115143
2115025,-0.292822386324908
2115030,-0.264231743461261
2115035,-0.249261736521092
2115040,-0.223861793709544
2115045,-0.294768456697041
2115050,-0.332705787215295
2115055,-0.189020390601175
2115060,-0.0475902956277625
2115065,-0.0785422218352502
2115070,-0.137232614722362
2118005,-0.252578886516302
2118010,-0.407227807093964
2118015,-0.258000447779654
2118020,-0.472070439112585
2118025,-0.169748168878175
2118035,-0.355641114891554
2118040,-0.388961733548788
2118045,-0.430795759837214
2118050,-0.419293775523077
2118055,-0.449061008241558
2118060,-0.227151208381347
2118065,-0.24024328414288
2118070,-0.233191598280267
2118075,-0.291253536069465
2118080,-0.349230644658538
2118085,-0.321411562742141
2118090,-0.382597014033736
2118095,-0.364122190057977
2118100,-0.4151944521094
2118105,-0.238819737713712
2118110,-0.330285177613338
2118115,-0.411189972998334
2118120,-0.237083150878898
2118125,-0.00686568509494785
2118130,-0.135761960670471
2118135,-0.118342307136312
2118140,0.0382685242529161
2118145,-0.378403579724559
2118150,-0.174099899026287
2118155,-0.188893849095005
2118160,-0.181478261797552
2118165,0.033745609226694
2118170,-0.129898704486188
2118175,-0.174447892147293
2118180,-0.335945958433036
2118185,-0.24021558016144
2118190,-0.148321597302476
2118195,-0.123546298924229
2118200,-0.234624265642198
2118205,-0.271581766779213
2118210,-0.277578272046266
2118215,-0.140329144513867
2118220,-0.217862172803477
2118225,-0.22376065691487
2118230,-0.159004582387675
2118235,-0.244777442958458
2118240,-0.282982359598766
2118245,-0.317622308040978
2118250,-0.358539354815353
2118255,-0.385759326348426
2118260,-0.365474265374932
2118265,-0.365366684057675
2118270,-0.225829693925694
2118275,-0.0487257614657374
2118280,-0.190722034483908
2118285,-0.39855550634122
2118290,-0.364291149891342
2118295,-0.363219961169031
2118300,-0.414698961420173
2118305,-0.512774305756211
2118310,-0.183139001833184
2118315,-0.357888938382826
2121005,-0.479622356291323
2121010,-0.374205729522069
2121015,-0.257499773964056
2121020,-0.260889781035815
2121025,-0.199150984999893
2121030,-0.266252210198696
2121035,-0.257865366527009
2121040,-0.375896507870035
2121045,-0.39813878983628
2121050,-0.516172563312501
2121055,-0.253579170541881
2121060,-0.201745972746004
2121065,-0.257613168184222
2121070,-0.248154043197571
2121075,-0.344542456582203
2121080,-0.264441085544665
2121085,-0.28451935225015
2121090,-0.239194248578828
2121095,-0.259960812034828
2121100,-0.226100464757883
2121105,-0.289540642687071
2121110,-0.333434107745402
2121115,-0.252535367089548
2121120,-0.2565632555758
2121125,-0.181146261604634
2121130,-0.27851918336857
2121135,-0.220162514104989
2121140,-0.15766535078791
2121145,-0.0361305165825186
2121150,-0.209874818086584
2121155,-0.21899355834716
2121160,-0.256224851255181
2121165,-0.216605571108394
2121170,-0.232316472943623
2121175,-0.182893667782777
2121180,-0.141451384099235
2121185,-0.120840083738542
2121190,-0.284790577216144
2121195,-0.234388118717024
2121200,-0.178274781814611
2121205,-0.282512370308217
2121210,-0.206989361760254
2121215,-0.323598604358847
2121220,-0.262696057046512
2121225,-0.31867966077688
2121230,-0.278588989179756
2121235,-0.409198276660693
2121240,-0.160992167122768
2124005,-0.349150309049708
2124010,-0.343531679499242
2124015,-0.381614703699104
2124020,-0.369432100142342
2124025,-0.322897531367289
2124030,-0.300185783489205
2124035,-0.157265262651516
2124040,-0.224090713685949
2124045,-0.225840407404567
2124050,-0.111867407342051
2124055,-0.0670387041621923
2124060,-0.243885965756537
2124065,-0.199951130405683
2124070,-0.285379080071349
2124075,-0.322480608935391
2124080,-0.382998735462788
2124085,-0.275921676219508
2124090,-0.31039935780054
2124095,-0.324239717662712
2124100,-0.17243808602187
2124105,-0.227082772346062
2124110,-0.0767434904323987
2124115,-0.113010887985655
2124120,-0.115306088007082
2124125,-0.171839081717623
2124130,-0.106921693732956
2124135,-0.136160839777818
2124140,-0.0825483394575569
2124145,-0.135405933995836
2124150,-0.214555490072066
2124155,-0.0396471972700818
2124160,-0.148501599163054
2124165,-0.228020823846755
2124170,-0.197550555935408
2124175,-0.199735610723817
2124180,-0.117448016159628
2124185,-0.0544037670730935
2124190,-0.0221749350634361
2124195,-0.143006071261367
2124200,-0.0338172000087678
2124205,-0.0584680601485956
2124210,-0.125808974053526
2124215,-0.180708516882971
2124220,0.0143529410093068
2124225,0.0522400362935688
2124230,0.0342084186626029
2124235,-0.0101875531506386
2124240,-0.155444636139688
2124245,-0.130283851903653
2124250,-0.128447778147306
2124255,-0.223078712539438
2124260,-0.191088232243075
2124265,-0.13509229224035
2124270,-0.20873530903488
2124275,-0.326799052139266
2124280,-0.139363475391486
2124285,-0.129274473562984
2124290,-0.178259939731206
2124295,-0.153304607530336
2124300,-0.229375283229768
2124305,-0.137854150743073
2124310,-0.187619956231813
2124315,-0.056381420564974
2124320,0.110038675302198
2124325,-0.0822905004579745
2124330,0.0736930494280552
2124335,0.0674145690544971
2124340,0.0367419770350623
2124345,-0.119820275002401
2124350,-0.137798619124074
2124355,-0.00322757628062089
2124360,-0.195320780340317
2124365,-0.0920636941013619
2124370,-0.0343317246917008
2124375,-0.0196792910681166
2124380,-0.153169148409191
2124385,-0.0460905646903683
2124390,-0.0403419669357637
2124395,-0.136882355115136
2124400,-0.308091614569985
2124405,-0.22812064381268
2124410,-0.0766700735371181
2124415,-0.084649816291665
2124420,0
2124425,-0.247730431678246
2124430,-0.229723166706247
2124435,-0.343308047880049
2124440,-0.279735718944126
2124445,-0.271603114804802
2124450,-0.127053860508492
2124455,-0.385309513334108
2124460,-0.12817890394248
2124465,-0.223862351646855
2124470,-0.185716909381453
2127005,-0.178693463797203
2127010,-0.135447149220124
2127015,-0.107310950539239
2127020,-0.0940294004495739
2127025,-0.0475398600096834
2127030,-0.0956162455502732
2127035,-0.152295926224214
2127040,0.0268330331327629
2127045,-0.0829437713440289
2127050,-0.10370454362931
2127055,-0.103166997748451
2127060,-0.168012488826305
2127065,-0.0791761739090125
2127070,0.0160989376553409
2127075,-0.120274405190179
2127080,-0.0113685730615998
2127085,-0.00468313225029388
2127090,-0.101332339863748
2127095,-0.0571717074168526
2127100,-0.0271573119369587
2127105,-0.0277411997937544
2127110,-0.0303485753059201
2127115,-0.0158952184054185
2127120,0.0315211027111425
2127125,0.012238810260766
2127130,0.00589557841605698
2127135,0.0800908837029568
2127140,0.0563560225440843
2127145,0.0248860403058186
2127150,-0.0121287185669383
2127155,0.050076683825466
2127160,-0.0672136089488547
2127165,-0.0320930952393585
2127170,0.124183578199434
2127175,0.0985508735376797
2127180,0.128144228844783
2127185,0.0086664557605813
2127190,0.000435050486134726
2127195,0.0110487197103164
2127200,-0.0684660386122167
2127205,0.0931819720758438
2127210,-0.0722232790222778
2127215,0.0153607249410519
2127220,-0.0507373336805211
2127225,-0.0635310395215745
2127230,0.179749865271887
2127235,-0.0250088400982019
